Subscript b,"Geopotential 
 height above MSL","Geopotential 
 height above MSL",Static pressure,Static pressure,"Standard temperature
 (K)",Temperature Lapse Rate,Temperature Lapse Rate
Subscript b,(m),(ft),(pascals),(inHg),"Standard temperature
 (K)",(K/m),(K/ft)
0,0,0,101325,29.92126,288.15,-0.0065,-0.001981
1,"11,000","36,089",22632.1,6.683245,216.65,0.0,0.0
2,"20,000","65,617",5474.89,1.616734,216.65,0.001,0.0003048
3,"32,000","104,987",868.019,0.2563258,228.65,0.0028,0.0008534
4,"47,000","154,199",110.906,0.0327506,270.65,0.0,0.0
5,"51,000","167,323",66.9389,0.01976704,270.65,-0.0028,-0.0008534
6,"71,000","232,940",3.95642,0.00116833,214.65,-0.002,-0.0006096
7,"84,852","278,385",,,187.15,,
